Region,Sales,Profit,Profit_Margin
Africa,783776,88871.631,11.33890690707549
Canada,66932,17817.39,26.62013685531584
Caribbean,324281,34571.32104,10.660914774531966
Central,2822399,311403.98164,11.033308247345609
Central Asia,752839,132480.187,17.597412859854497
EMEA,806184,43897.971,5.44515532434283
East,678834,91522.78,13.482350618855271
North,1248192,194597.95252,15.590386136107265
North Asia,848349,165578.421,19.517724544969113
Oceania,1100207,121666.642,11.058522805253922
South,1600960,140355.76618,8.766975201129323
Southeast Asia,884438,17852.329,2.0184941171681907
West,725514,108418.4489,14.943674264039014
